C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_DAILY,AEMO,PUBLIC,2024/06/11,04:40:00,0000000422617147,,0000000422617145
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/10 19:30:00",7757,0,0,"2024/06/10 19:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/10 20:00:00",7625,0,0,"2024/06/10 20:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/10 20:30:00",7468,0,0,"2024/06/10 20:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/10 21:00:00",7383,0,0,"2024/06/10 21:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/10 21:30:00",7221,0,0,"2024/06/10 21:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/10 22:00:00",7006,0,0,"2024/06/10 22:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/10 22:30:00",6786,0,0,"2024/06/10 22:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/10 23:00:00",6559,0,0,"2024/06/10 23:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/10 23:30:00",6364,0,0,"2024/06/10 23:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/11 00:00:00",6213,0,0,"2024/06/11 00:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/11 00:30:00",6074,0,0,"2024/06/11 00:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/11 01:00:00",5933,0,0,"2024/06/11 01:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/11 01:30:00",5792,0,0,"2024/06/11 01:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/11 02:00:00",5746,0,0,"2024/06/11 02:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/11 02:30:00",5760,0,0,"2024/06/11 02:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/11 03:00:00",5710,0,0,"2024/06/11 03:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/11 03:30:00",5771,0,0,"2024/06/11 03:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/11 04:00:00",5808,0,0,"2024/06/11 04:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/10 04:30:00",1287,0,0,"2024/06/10 04:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/10 05:00:00",1255,0,0,"2024/06/10 05:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/10 05:30:00",1240,0,0,"2024/06/10 05:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/10 06:00:00",1232,0,0,"2024/06/10 06:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/10 06:30:00",1244,0,0,"2024/06/10 06:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/10 07:00:00",1280,0,0,"2024/06/10 07:00:02"
